year,total,papers,percentage,concept
2022,4,2,50.0,Education/Learning
2023,177,125,70.62146892655367,Education/Learning
2024,656,495,75.45731707317073,Education/Learning
2025,1615,1285,79.56656346749226,Education/Learning
2026,2261,1862,82.35294117647058,Education/Learning
2022,4,0,0.0,Adoption/Acceptance
2023,177,26,14.689265536723164,Adoption/Acceptance
2024,656,132,20.121951219512198,Adoption/Acceptance
2025,1615,345,21.36222910216718,Adoption/Acceptance
2026,2261,528,23.35249889429456,Adoption/Acceptance
2022,4,1,25.0,Critical Thinking/Cognition
2023,177,29,16.38418079096045,Critical Thinking/Cognition
2024,656,93,14.176829268292682,Critical Thinking/Cognition
2025,1615,369,22.84829721362229,Critical Thinking/Cognition
2026,2261,574,25.386996904024766,Critical Thinking/Cognition
2022,4,0,0.0,Creativity
2023,177,22,12.429378531073446,Creativity
2024,656,68,10.365853658536585,Creativity
2025,1615,225,13.93188854489164,Creativity
2026,2261,258,11.410880141530297,Creativity
2022,4,0,0.0,AI Dependency
2023,177,3,1.694915254237288,AI Dependency
2024,656,27,4.115853658536586,AI Dependency
2025,1615,156,9.659442724458204,AI Dependency
2026,2261,258,11.410880141530297,AI Dependency
2022,4,1,25.0,Motivation/Engagement
2023,177,17,9.6045197740113,Motivation/Engagement
2024,656,119,18.140243902439025,Motivation/Engagement
2025,1615,407,25.20123839009288,Motivation/Engagement
2026,2261,675,29.854046881910655,Motivation/Engagement
2022,4,0,0.0,Psychological Well-being
2023,177,19,10.734463276836157,Psychological Well-being
2024,656,71,10.823170731707316,Psychological Well-being
2025,1615,263,16.28482972136223,Psychological Well-being
2026,2261,527,23.308270676691727,Psychological Well-being
2022,4,0,0.0,Ethics/Integrity
2023,177,40,22.598870056497177,Ethics/Integrity
2024,656,154,23.47560975609756,Ethics/Integrity
2025,1615,487,30.154798761609907,Ethics/Integrity
2026,2261,634,28.040689960194605,Ethics/Integrity
2022,4,0,0.0,Privacy
2023,177,9,5.084745762711865,Privacy
2024,656,22,3.353658536585366,Privacy
2025,1615,66,4.086687306501548,Privacy
2026,2261,70,3.0959752321981426,Privacy
2022,4,0,0.0,Trust
2023,177,8,4.519774011299435,Trust
2024,656,22,3.353658536585366,Trust
2025,1615,117,7.244582043343653,Trust
2026,2261,140,6.191950464396285,Trust
2022,4,0,0.0,Communication
2023,177,15,8.47457627118644,Communication
2024,656,35,5.335365853658536,Communication
2025,1615,111,6.8730650154798765,Communication
2026,2261,155,6.855373728438743,Communication
2022,4,0,0.0,Peer/Social Interaction
2023,177,2,1.1299435028248588,Peer/Social Interaction
2024,656,12,1.8292682926829267,Peer/Social Interaction
2025,1615,15,0.9287925696594427,Peer/Social Interaction
2026,2261,42,1.8575851393188854,Peer/Social Interaction
2022,4,0,0.0,Interpersonal Relationships
2023,177,3,1.694915254237288,Interpersonal Relationships
2024,656,8,1.2195121951219512,Interpersonal Relationships
2025,1615,30,1.8575851393188854,Interpersonal Relationships
2026,2261,42,1.8575851393188854,Interpersonal Relationships
2022,4,0,0.0,Social Connectedness/Isolation
2023,177,1,0.5649717514124294,Social Connectedness/Isolation
2024,656,3,0.45731707317073167,Social Connectedness/Isolation
2025,1615,11,0.6811145510835914,Social Connectedness/Isolation
2026,2261,16,0.7076514816452897,Social Connectedness/Isolation
2022,4,0,0.0,Human-AI Relationship
2023,177,0,0.0,Human-AI Relationship
2024,656,4,0.6097560975609756,Human-AI Relationship
2025,1615,6,0.37151702786377705,Human-AI Relationship
2026,2261,14,0.6191950464396285,Human-AI Relationship
