concept,first_year,first_share_pct,last_year,last_share_pct,change_percentage_points
Education/Learning,2022,50.0,2026,82.353,32.353
Ethics/Integrity,2022,0.0,2026,28.041,28.041
Adoption/Acceptance,2022,0.0,2026,23.352,23.352
Psychological Well-being,2022,0.0,2026,23.308,23.308
AI Dependency,2022,0.0,2026,11.411,11.411
Creativity,2022,0.0,2026,11.411,11.411
Communication,2022,0.0,2026,6.855,6.855
Trust,2022,0.0,2026,6.192,6.192
Motivation/Engagement,2022,25.0,2026,29.854,4.854
Privacy,2022,0.0,2026,3.096,3.096
Peer/Social Interaction,2022,0.0,2026,1.858,1.858
Interpersonal Relationships,2022,0.0,2026,1.858,1.858
Social Connectedness/Isolation,2022,0.0,2026,0.708,0.708
Human-AI Relationship,2022,0.0,2026,0.619,0.619
Critical Thinking/Cognition,2022,25.0,2026,25.387,0.387
