term,tfidf_mean
ai,0.06563446485784488
students,0.052450854781721436
chatgpt,0.044190004126074954
learning,0.035989235991239155
study,0.030109242117286678
writing,0.0295881860438362
use,0.02955350331355469
generative,0.02917068628033367
genai,0.02840487713139291
education,0.028382383150069256
academic,0.02822905416462036
university,0.023788519896903615
generative ai,0.023274786564251273
tools,0.02143501591838729
intelligence,0.020607533951193285
artificial,0.020410768896049442
artificial intelligence,0.019993178738150468
higher,0.019215486449283736
university students,0.018880502917014354
using,0.018555338697351428
language,0.017634596418009862
research,0.017427235222838202
undergraduate,0.016878840409555517
higher education,0.016713922915638953
student,0.015989473776276873
feedback,0.015941194159298164
based,0.015480460923764544
analysis,0.014956357510055278
english,0.014761785000435504
critical,0.014245265461182764
perceived,0.014055478214686447
data,0.013951196513198053
ethical,0.013769960845837108
literacy,0.013539427182878237
generative artificial,0.01352165314060084
thinking,0.013345006306778805
self,0.013284055978802077
findings,0.01299549847978479
design,0.012989845500061577
skills,0.012683362953876124
performance,0.01257382899965948
ai tools,0.012517933626545262
engagement,0.012506939978693338
impact,0.012320709482478407
technology,0.01230096815666743
digital,0.012258495874937873
perceptions,0.0121173221819912
educational,0.012104861229456792
results,0.011973918002686663
model,0.011840336097709942
teaching,0.01183692139392715
support,0.01165651953076166
cognitive,0.011544619706945336
efl,0.011350322494988165
human,0.011322916856804479
tool,0.010879547322192961
integration,0.010643372472813847
medical,0.010555214450439202
development,0.010485457811266917
used,0.010445964008990118
usage,0.01040540859364184
group,0.010372159302445644
significant,0.009911854747805692
adoption,0.009866389609444116
critical thinking,0.00979960514765059
learners,0.009711134592365724
role,0.00963303014652107
assessment,0.009590209716027016
undergraduate students,0.009315443558323127
information,0.009178150722021945
course,0.009027278196572603
acceptance,0.008914240726959694
knowledge,0.008907349730301247
potential,0.008906126270009255
generated,0.008885496949835817
